DATE,GDP
10/1/74,1599.679
1/1/75,1616.116
4/1/75,1651.853
7/1/75,1709.82
10/1/75,1761.831
1/1/76,1820.487
4/1/76,1852.332
7/1/76,1886.558
10/1/76,1934.273
1/1/77,1988.648
4/1/77,2055.909
7/1/77,2118.473
10/1/77,2164.27
1/1/78,2202.76
4/1/78,2331.633
7/1/78,2395.053
10/1/78,2476.949
1/1/79,2526.61
4/1/79,2591.247
7/1/79,2667.565
10/1/79,2723.883
1/1/80,2789.842
4/1/80,2797.352
7/1/80,2856.483
10/1/80,2985.557
1/1/81,3124.206
4/1/81,3162.532
7/1/81,3260.609
10/1/81,3280.818
1/1/82,3274.302
4/1/82,3331.972
7/1/82,3366.322
10/1/82,3402.561
1/1/83,3473.413
4/1/83,3578.848
7/1/83,3689.179
10/1/83,3794.706
1/1/84,3908.054
4/1/84,4009.601
7/1/84,4084.25
10/1/84,4148.551
1/1/85,4230.168
4/1/85,4294.887
7/1/85,4386.773
10/1/85,4444.094
1/1/86,4507.894
4/1/86,4545.34
7/1/86,4607.669
10/1/86,4657.627
1/1/87,4722.156
4/1/87,4806.16
7/1/87,4884.555
10/1/87,5007.994
1/1/88,5073.372
4/1/88,5190.036
7/1/88,5282.835
10/1/88,5399.509
1/1/89,5511.253
4/1/89,5612.463
7/1/89,5695.365
10/1/89,5747.237
1/1/90,5872.701
4/1/90,5960.028
7/1/90,6015.116
10/1/90,6004.733
1/1/91,6035.178
4/1/91,6126.862
7/1/91,6205.937
10/1/91,6264.54
1/1/92,6363.102
4/1/92,6470.763
7/1/92,6566.641
10/1/92,6680.803
1/1/93,6729.459
4/1/93,6808.939
7/1/93,6882.098
10/1/93,7013.738
1/1/94,7115.652
4/1/94,7246.931
7/1/94,7331.075
10/1/94,7455.288
1/1/95,7522.289
4/1/95,7580.997
7/1/95,7683.125
10/1/95,7772.586
1/1/96,7868.468
4/1/96,8032.84
7/1/96,8131.408
10/1/96,8259.771
1/1/97,8362.655
4/1/97,8518.825
7/1/97,8662.823
10/1/97,8765.907
1/1/98,8866.48
4/1/98,8969.699
7/1/98,9121.097
10/1/98,9293.991
1/1/99,9417.264
4/1/99,9524.152
7/1/99,9681.856
10/1/99,9899.378
1/1/00,10002.857
4/1/00,10247.679
7/1/00,10319.825
10/1/00,10439.025
1/1/01,10472.879
4/1/01,10597.822
7/1/01,10596.294
10/1/01,10660.294
1/1/02,10788.952
4/1/02,10893.207
7/1/02,10992.051
10/1/02,11071.463
1/1/03,11183.507
4/1/03,11312.875
7/1/03,11567.326
10/1/03,11769.275
1/1/04,11920.169
4/1/04,12108.987
7/1/04,12303.34
10/1/04,12522.425
1/1/05,12761.337
4/1/05,12910.022
7/1/05,13142.873
10/1/05,13332.316
1/1/06,13603.933
4/1/06,13749.806
7/1/06,13867.469
10/1/06,14037.228
1/1/07,14208.569
4/1/07,14382.363
7/1/07,14535.003
10/1/07,14681.501
1/1/08,14651.039
4/1/08,14805.611
7/1/08,14835.187
10/1/08,14559.543
1/1/09,14394.547
4/1/09,14352.85
7/1/09,14420.312
10/1/09,14628.021
1/1/10,14721.35
4/1/10,14926.098
7/1/10,15079.917
10/1/10,15240.843
1/1/11,15285.828
4/1/11,15496.189
7/1/11,15591.85
10/1/11,15796.46
1/1/12,16019.758
4/1/12,16152.257
7/1/12,16257.151
10/1/12,16358.863
1/1/13,16569.591
4/1/13,16637.926
7/1/13,16848.748
10/1/13,17083.137
1/1/14,17104.555
4/1/14,17432.909
7/1/14,17721.657
10/1/14,17849.912
1/1/15,17984.178
4/1/15,18219.405
7/1/15,18344.713
10/1/15,18350.825
1/1/16,18424.283
4/1/16,18637.253
7/1/16,18806.743
10/1/16,18991.883
1/1/17,19190.431
4/1/17,19356.649
7/1/17,19611.704
10/1/17,19918.91
1/1/18,20163.159
4/1/18,20510.177
7/1/18,20749.752
10/1/18,20897.804
1/1/19,21098.827
4/1/19,21340.267
7/1/19,21542.54
10/1/19,21729.124
1/1/20,21534.907
